hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 1436.72, 871.853, 1464.07, 669.936, 1625.26, 794.582, 0, 0
0, 1800.00000, 1380.09, 831.321, 1406.29, 637.597, 1560.96, 757.149, 0, 0
0, 2700.00000, 1194.16, 796.732, 1216.99, 605.874, 1370.86, 721.075, 0, 0
1, 0.00000, 1236.49, 824.142, 1261.36, 631.976, 1415.34, 749.594, 0, 0
1, 900.00000, 1210.41, 804.563, 1235.14, 618.145, 1384.22, 732.764, 0, 0
1, 1800.00000, 1258.54, 794.905, 1281.88, 608.915, 1431.28, 722.131, 0, 0
1, 2700.00000, 1263.62, 798.402, 1288.31, 613.541, 1436.06, 727.351, 0, 0
2, 0.00000, 1283.12, 816.414, 1307.69, 623.949, 1462.08, 741.456, 0, 0
2, 900.00000, 1246.33, 788.199, 1269.88, 603.577, 1417.99, 716.276, 0, 0
2, 1800.00000, 1252.56, 791.751, 1277.39, 607.875, 1424.22, 721.314, 0, 0
2, 2700.00000, 1223.27, 771.327, 1245.76, 591.656, 1390.12, 700.967, 0, 0
3, 0.00000, 1173.65, 738.725, 1195, 564.083, 1335.57, 669.9, 0, 0
3, 900.00000, 1184.79, 744.172, 1207.51, 569.237, 1347.65, 676.381, 0, 0
3, 1800.00000, 1128.91, 722.955, 1149.72, 554.564, 1285.15, 656.785, 0, 0
3, 2700.00000, 1197.88, 771.503, 1221.14, 589.711, 1366.94, 700.751, 0, 0
4, 0.00000, 1182.61, 761.505, 1204.8, 579.758, 1351.1, 689.853, 0, 0
4, 900.00000, 1165.54, 752.382, 1186.89, 570.354, 1333.86, 679.855, 0, 0
4, 1800.00000, 1219.33, 788.25, 1242.28, 600.112, 1393.73, 714.057, 0, 0
4, 2700.00000, 1188.38, 758.29, 1208.17, 575.68, 1356.42, 684.123, 0, 0
5, 0.00000, 1207.85, 767.291, 1229.51, 588.663, 1373.38, 696.742, 0, 0
5, 900.00000, 1190.22, 757.139, 1210.72, 578.724, 1354.98, 685.686, 0, 0
5, 1800.00000, 1295.03, 789.163, 1315.74, 599.511, 1469.63, 712.277, 0, 0
5, 2700.00000, 1282.02, 776.91, 1302.53, 592.757, 1451.76, 702.593, 0, 0
6, 0.00000, 1228.65, 739.157, 1246.86, 562.379, 1390.85, 666.535, 0, 0
6, 900.00000, 1278.66, 773.051, 1298.54, 588.047, 1448.82, 697.769, 0, 0
6, 1800.00000, 1290.95, 781.834, 1310.85, 594.795, 1462.88, 705.543, 0, 0
6, 2700.00000, 1208.13, 732.827, 1229.32, 572.028, 1357.98, 670.775, 0, 0
7, 0.00000, 1251.27, 761.094, 1272.36, 591.787, 1408.44, 694.707, 0, 0
7, 900.00000, 1286.45, 783.081, 1307.3, 608.763, 1447.84, 713.982, 0, 0
7, 1800.00000, 1086.71, 732.936, 1108.6, 588.212, 1222.99, 679.539, 0, 0
7, 2700.00000, 1115.14, 749.644, 1135.86, 605.038, 1250.74, 695.287, 0, 0
8, 0.00000, 1185.46, 790.301, 1206.19, 643.114, 1323.29, 734.664, 0, 0
8, 900.00000, 1150.88, 765.907, 1169.81, 628.527, 1279.32, 713.611, 0, 0
8, 1800.00000, 1183.66, 786.006, 1203.98, 645.073, 1315.88, 733.136, 0, 0
8, 2700.00000, 1342.07, 821.81, 1367.11, 685.021, 1473.05, 775.105, 0, 0
9, 0.00000, 1420.01, 874.561, 1446.13, 730.091, 1558.18, 824.95, 0, 0
9, 900.00000, 1402.76, 862.565, 1428.09, 723.376, 1535.97, 814.909, 0, 0
9, 1800.00000, 1442.46, 842.544, 1472.97, 727.484, 1557.36, 811.44, 0, 0
9, 2700.00000, 1389.34, 806.081, 1420.42, 704.625, 1492.74, 782.268, 0, 0
10, 0.00000, 1399.76, 813.131, 1428.73, 711.404, 1502.34, 787.355, 0, 0
10, 900.00000, 1448.18, 847.501, 1478, 734.852, 1560.65, 817.001, 0, 0
