hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 119.397, 108.453, 124.401, 0, 1083.86, 1068.08, 151.004, 0.0259598
0, 1800.00000, 119.921, 109.163, 124.802, 0, 1049.13, 1035.28, 135.449, 0.0214887
0, 2700.00000, 120.439, 110.328, 124.985, 0, 989.602, 976.823, 133.424, 0.0233151
1, 0.00000, 119.797, 109.308, 124.554, 0, 1046.82, 1031.24, 156.07, 0.0327721
1, 900.00000, 120.145, 109.633, 124.882, 0, 1029.37, 1015.82, 135.708, 0.0221133
1, 1800.00000, 120.389, 110.146, 124.983, 0, 1002.01, 989.173, 132.328, 0.0204405
1, 2700.00000, 120.428, 109.922, 125.125, 0, 1010.43, 998.845, 116.404, 0.0180343
2, 0.00000, 120.251, 109.654, 125.004, 0, 1020.25, 1007.91, 122.684, 0.0212754
2, 900.00000, 120.469, 110.171, 125.076, 0, 1000.91, 988.547, 126.76, 0.0232293
2, 1800.00000, 120.356, 109.714, 125.135, 0, 1024.29, 1012.18, 119.958, 0.0220492
2, 2700.00000, 120.594, 110.391, 125.161, 0, 993.168, 980.847, 127.595, 0.0258614
3, 0.00000, 121.243, 111.511, 125.544, 0, 936.418, 926.282, 110.641, 0.0199339
3, 900.00000, 120.891, 110.747, 125.432, 0, 979.478, 968.035, 119.456, 0.0233482
3, 1800.00000, 121.397, 111.704, 125.683, 0, 927.937, 918.216, 106.672, 0.0193415
3, 2700.00000, 120.637, 110.306, 125.268, 0, 995.791, 983.954, 121.092, 0.024732
4, 0.00000, 120.81, 110.63, 125.362, 0, 979.135, 967.751, 118.42, 0.0206996
4, 900.00000, 121.077, 111.171, 125.481, 0, 951.562, 940.97, 113.489, 0.0198179
4, 1800.00000, 120.597, 110.248, 125.23, 0, 994.311, 982.748, 118.073, 0.0240278
4, 2700.00000, 120.952, 111.056, 125.367, 0, 957.6, 946.224, 121.934, 0.0205939
5, 0.00000, 120.617, 110.351, 125.222, 0, 997.892, 985.583, 126.793, 0.0234309
5, 900.00000, 120.902, 110.877, 125.372, 0, 967.379, 956.075, 119.475, 0.0244243
5, 1800.00000, 120.434, 110.278, 125, 0, 996.669, 983.198, 140.1, 0.0253572
5, 2700.00000, 120.47, 110.21, 125.095, 0, 1004.68, 991.425, 136.541, 0.0235751
6, 0.00000, 120.951, 111.099, 125.369, 0, 962.027, 949.788, 131.821, 0.0222122
6, 900.00000, 120.54, 110.348, 125.143, 0, 996.75, 983.542, 136.991, 0.0236131
6, 1800.00000, 120.551, 110.42, 125.098, 0, 993.655, 980.813, 134.135, 0.0167938
6, 2700.00000, 120.84, 111.166, 125.187, 0, 965.051, 951.74, 145.925, 0.0305224
7, 0.00000, 120.495, 110.39, 125.076, 0, 1000.2, 986.558, 142.848, 0.0184458
7, 900.00000, 120.148, 110.056, 124.766, 0, 1018.46, 1002.86, 163.38, 0.022027
7, 1800.00000, 120.765, 111.061, 125.149, 0, 970.892, 957.342, 148.268, 0.0196535
7, 2700.00000, 120.607, 110.889, 125.026, 0, 981.124, 966.657, 158.087, 0.0155924
8, 0.00000, 119.97, 110.132, 124.49, 0, 1021.63, 1004.39, 185.23, 0.0206746
8, 900.00000, 120.134, 110.739, 124.455, 0, 1002.59, 984.373, 205.633, 0.0182854
8, 1800.00000, 119.818, 110.309, 124.228, 0, 1027.94, 1008.21, 219.75, 0.0190996
8, 2700.00000, 119.322, 109.432, 123.941, 0, 1065.79, 1044.65, 225.49, 0.0169764
9, 0.00000, 118.726, 108.238, 123.635, 0, 1120.93, 1098.4, 225.307, 0.0136097
9, 900.00000, 118.955, 108.795, 123.705, 0, 1094.83, 1072.69, 229.073, 0.0187352
9, 1800.00000, 118.849, 108.805, 123.585, 0, 1096.59, 1073.6, 240.943, 0.018165
9, 2700.00000, 119.265, 109.526, 123.813, 0, 1067.97, 1046.08, 237.243, 0.0195842
10, 0.00000, 119.075, 109.336, 123.652, 0, 1080.08, 1057, 249.838, 0.0207672
10, 900.00000, 118.794, 108.845, 123.48, 0, 1097.66, 1074.05, 249.519, 0.0196496
10, 1800.00000, 118.809, 109.151, 123.361, 0, 1085.2, 1060.89, 265.026, 0.0200667
10, 2700.00000, 118.258, 108.223, 123.047, 0, 1134.47, 1107.49, 281.766, 0.0212938
11, 0.00000, 118.479, 108.638, 123.156, 0, 1111.81, 1086, 275.317, 0.0214853
11, 900.00000, 118.698, 109.153, 123.202, 0, 1088.61, 1063.83, 273.2, 0.0214005
11, 1800.00000, 118.287, 108.084, 123.161, 0, 1140.64, 1114.27, 270.462, 0.0194283
11, 2700.00000, 118.275, 108.216, 123.093, 0, 1139.24, 1112.12, 282.337, 0.0224376
12, 0.00000, 118.919, 109.458, 123.368, 0, 1069.21, 1045.31, 265.768, 0.026184
12, 900.00000, 118.01, 107.758, 122.919, 0, 1153.35, 1125.79, 280.714, 0.0217947
12, 1800.00000, 118.1, 107.967, 122.95, 0, 1145.66, 1118.39, 281.139, 0.02331
12, 2700.00000, 118.071, 107.769, 123.017, 0, 1156.54, 1129.2, 277.201, 0.0218903
13, 0.00000, 118.511, 108.383, 123.328, 0, 1120.46, 1095.45, 258.681, 0.0262952
13, 900.00000, 118.243, 107.885, 123.187, 0, 1145.68, 1119.74, 261.876, 0.0252238
13, 1800.00000, 117.808, 107.476, 122.761, 0, 1171.35, 1142.82, 287.91, 0.0236703
13, 2700.00000, 116.906, 105.914, 122.249, 0, 1240.52, 1208.82, 298.376, 0.0166534
14, 0.00000, 117.557, 106.774, 122.732, 0, 1190.29, 1162.4, 268.891, 0.0160792
14, 900.00000, 117.692, 107.075, 122.798, 0, 1179.64, 1151.66, 274.492, 0.016792
14, 1800.00000, 117.748, 107.36, 122.73, 0, 1172.38, 1143.96, 285.309, 0.0176879
14, 2700.00000, 117.605, 107.17, 122.622, 0, 1184.73, 1155.31, 293.71, 0.0152795
15, 0.00000, 117.527, 106.881, 122.653, 0, 1201.38, 1171.84, 288.837, 0.0155702
15, 900.00000, 117.844, 107.464, 122.824, 0, 1172.11, 1143.58, 286.801, 0.0173113
15, 1800.00000, 117.283, 106.691, 122.425, 0, 1219.6, 1187.86, 311.429, 0.016998
15, 2700.00000, 117.568, 107.348, 122.478, 0, 1177.87, 1148.05, 303.854, 0.0194061
16, 0.00000, 117.33, 106.736, 122.446, 0, 1209.3, 1178.48, 301.936, 0.0192453
16, 900.00000, 117.382, 106.664, 122.558, 0, 1214.55, 1183.85, 297.366, 0.0206873
16, 1800.00000, 117.637, 106.925, 122.788, 0, 1198.12, 1169.08, 282.017, 0.023808
16, 2700.00000, 117.928, 107.558, 122.901, 0, 1164.07, 1136.15, 280.721, 0.025014
17, 0.00000, 117.772, 107.163, 122.848, 0, 1183.49, 1155.53, 274.281, 0.0245025
17, 900.00000, 117.844, 107.43, 122.814, 0, 1160.82, 1133.67, 271.452, 0.02505
17, 1800.00000, 117.842, 107.241, 122.897, 0, 1170.11, 1142.92, 267.124, 0.0235963
17, 2700.00000, 117.871, 107.303, 122.912, 0, 1170.25, 1142.96, 268.876, 0.0258328
18, 0.00000, 117.714, 107.138, 122.793, 0, 1177, 1148.79, 277.642, 0.0209317
18, 900.00000, 116.635, 105.45, 122.11, 0, 1257.21, 1224.58, 300.963, 0.0159773
18, 1800.00000, 116.459, 105.354, 121.868, 0, 1265.53, 1232, 310.838, 0.0156377
18, 2700.00000, 116.366, 105.097, 121.871, 0, 1274.92, 1241.54, 304.64, 0.0140582
19, 0.00000, 116.311, 104.808, 121.953, 0, 1288.77, 1255.34, 298.55, 0.0154357
19, 900.00000, 116.603, 105.298, 122.123, 0, 1267.97, 1235.52, 295.72, 0.0169694
19, 1800.00000, 116.447, 104.993, 122.027, 0, 1280.45, 1247.72, 293.716, 0.0176881
19, 2700.00000, 116.282, 104.77, 121.897, 0, 1287.3, 1254.09, 296.107, 0.0156521
20, 0.00000, 116.442, 104.844, 122.101, 0, 1281.09, 1248.77, 286.254, 0.0165447
20, 900.00000, 116.659, 105.046, 122.283, 0, 1270.68, 1240.13, 270.51, 0.0206163
20, 1800.00000, 116.71, 105.08, 122.344, 0, 1268.21, 1237.55, 271.122, 0.0206258
20, 2700.00000, 116.801, 105.01, 122.48, 0, 1272.44, 1242.76, 258.925, 0.0223887
21, 0.00000, 116.524, 104.602, 122.288, 0, 1284.27, 1254.33, 257.772, 0.0179572
21, 900.00000, 117.189, 105.508, 122.785, 0, 1238.37, 1211.1, 240.908, 0.0241764
21, 1800.00000, 117.418, 105.974, 122.878, 0, 1220.4, 1193.69, 241.123, 0.0263297
21, 2700.00000, 117.808, 106.324, 123.242, 0, 1202.97, 1178.5, 220.674, 0.0314803
22, 0.00000, 118.108, 106.937, 123.372, 0, 1176.18, 1152.35, 221.419, 0.0353443
22, 900.00000, 117.917, 106.581, 123.268, 0, 1187.29, 1163.27, 219.595, 0.0302453
22, 1800.00000, 117.689, 106.324, 123.083, 0, 1202.97, 1177.28, 233.945, 0.0334447
22, 2700.00000, 118.345, 107.287, 123.509, 0, 1143.91, 1122.05, 205.526, 0.0318677
