hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 2834.68, 2095.81, 2594.07, 1880.71, 2900.66, 1779.89, 0, 0
0, 1800.00000, 2736.13, 2013.06, 2498.6, 1783.23, 2816.4, 1692.44, 0, 0
0, 2700.00000, 2660.73, 1924.9, 2438.84, 1716.07, 2730.63, 1628.33, 0, 0
1, 0.00000, 2731.67, 1998.57, 2495.21, 1788.84, 2795.07, 1688.92, 0, 0
1, 900.00000, 2687.43, 1952.64, 2456.17, 1748.5, 2748.59, 1650.3, 0, 0
1, 1800.00000, 2658.85, 1917.33, 2434.51, 1722.49, 2715.42, 1625.64, 0, 0
1, 2700.00000, 2674.01, 1933.15, 2445.4, 1742.08, 2725.18, 1639.64, 0, 0
2, 0.00000, 2702.68, 1986.11, 2461.19, 1762.43, 2775.65, 1665.13, 0, 0
2, 900.00000, 2642.93, 1908.36, 2415.64, 1711.19, 2700.04, 1612.93, 0, 0
2, 1800.00000, 2654.63, 1932.81, 2420.73, 1719.12, 2722.74, 1623.41, 0, 0
2, 2700.00000, 2600.47, 1871.06, 2377.55, 1668.76, 2664.2, 1576.86, 0, 0
3, 0.00000, 2509.92, 1765.28, 2303.67, 1590.66, 2558.02, 1499.35, 0, 0
3, 900.00000, 2525.89, 1806.12, 2309.31, 1591.26, 2603.68, 1511.12, 0, 0
3, 1800.00000, 2469.24, 1736.3, 2265.23, 1546.67, 2531.46, 1464.81, 0, 0
3, 2700.00000, 2595.05, 1879.1, 2367.35, 1653.71, 2676.4, 1569.21, 0, 0
4, 0.00000, 2567.7, 1852.65, 2343.52, 1626.06, 2651.85, 1545.21, 0, 0
4, 900.00000, 2536.75, 1806.75, 2322.22, 1601.61, 2607.15, 1518.39, 0, 0
4, 1800.00000, 2631.35, 1907.65, 2402.47, 1685.61, 2709.2, 1598.41, 0, 0
4, 2700.00000, 2547.26, 1823.37, 2330.23, 1605.6, 2627.35, 1526.53, 0, 0
5, 0.00000, 2583.63, 1854.27, 2362.45, 1643.04, 2655.97, 1557.11, 0, 0
5, 900.00000, 2553.74, 1829.56, 2334.41, 1615.51, 2629.44, 1532.59, 0, 0
5, 1800.00000, 2558.5, 1904.02, 2325.48, 1669.42, 2645.16, 1584.91, 0, 0
5, 2700.00000, 2534.82, 1874.73, 2308.6, 1644.17, 2621.38, 1563.54, 0, 0
6, 0.00000, 2435.67, 1785.48, 2218.82, 1548.05, 2532.86, 1478.97, 0, 0
6, 900.00000, 2519.96, 1870.09, 2293.31, 1619.34, 2623.78, 1548.43, 0, 0
6, 1800.00000, 2546.3, 1858.71, 2326.79, 1657.02, 2611.21, 1567.77, 0, 0
6, 2700.00000, 2266.69, 1748.73, 2061.39, 1545.4, 2340.13, 1469.26, 0, 0
7, 0.00000, 2347.13, 1827.16, 2136.68, 1606.04, 2433.39, 1534.35, 0, 0
7, 900.00000, 2389.9, 1868.82, 2177.93, 1633.14, 2488.03, 1567.41, 0, 0
7, 1800.00000, 2177.77, 1746.12, 1979.19, 1535.71, 2260.7, 1468.93, 0, 0
7, 2700.00000, 2191.47, 1759.69, 1993.94, 1533.06, 2288.97, 1475.31, 0, 0
8, 0.00000, 2296.77, 1836.43, 2098.39, 1623.62, 2381.88, 1558.22, 0, 0
8, 900.00000, 2201.12, 1744.85, 2012.32, 1533.02, 2290.17, 1475.42, 0, 0
8, 1800.00000, 2239, 1772.78, 2050.56, 1556.36, 2332.2, 1501.37, 0, 0
8, 2700.00000, 2239.14, 1880.2, 2035.99, 1642.81, 2343.16, 1585.57, 0, 0
9, 0.00000, 2372.26, 2003.44, 2151.07, 1774.91, 2459.58, 1697.62, 0, 0
9, 900.00000, 2323.57, 1952.62, 2111.91, 1722.86, 2416.72, 1654.44, 0, 0
9, 1800.00000, 2270.1, 1947.03, 2068.5, 1707.56, 2376.69, 1652.7, 0, 0
9, 2700.00000, 2170.28, 1840.25, 1976.79, 1630.8, 2254.92, 1567.95, 0, 0
10, 0.00000, 2180.4, 1855.36, 1987.2, 1633.78, 2275.7, 1577.25, 0, 0
10, 900.00000, 2265.12, 1936.87, 2062.91, 1709.5, 2360.92, 1648.07, 0, 0
10, 1800.00000, 2234.65, 1915.04, 2032.91, 1679.72, 2337.57, 1622.67, 0, 0
10, 2700.00000, 2249.64, 1991.12, 2035.81, 1724.84, 2373.33, 1672.79, 0, 0
11, 0.00000, 2232.15, 1960.36, 2027.13, 1711.13, 2345.48, 1658.19, 0, 0
11, 900.00000, 2209.48, 1899.99, 2020.69, 1704.49, 2284.39, 1638.74, 0, 0
11, 1800.00000, 2206.99, 1988.62, 1997.6, 1732.19, 2324.37, 1679.07, 0, 0
11, 2700.00000, 2172.74, 1962.72, 1964.98, 1701.82, 2294.8, 1652.34, 0, 0
12, 0.00000, 2121.59, 1892.06, 1923.9, 1673.01, 2212.44, 1611.33, 0, 0
12, 900.00000, 2258.24, 2051.73, 2038.09, 1787.53, 2376.97, 1728.97, 0, 0
12, 1800.00000, 2239.67, 2018.24, 2029.06, 1772.58, 2347.12, 1713.01, 0, 0
12, 2700.00000, 2111.97, 2015.34, 1899.44, 1755.92, 2230.37, 1701.57, 0, 0
13, 0.00000, 2067.58, 1975.32, 1857.75, 1714.47, 2188.57, 1663.18, 0, 0
13, 900.00000, 2118.06, 2016.31, 1904.22, 1759.1, 2233.88, 1702.51, 0, 0
