hour, t(sec), |V|1 (volts), |V|2 (volts), |V|3 (volts), |V|4 (volts), |I|1 (amps), |I|2 (amps), |I|3 (amps), |I|4 (amps)
0, 900.00000, 115.843, 119.882, 119.386, 0, 405.37, 277.659, 306.198, 115.976
0, 1800.00000, 116.48, 120.509, 119.876, 0, 388.874, 261.223, 293.589, 114.682
0, 2700.00000, 117.043, 120.793, 120.28, 0, 372.91, 253.464, 282.071, 107.747
1, 0.00000, 116.42, 120.291, 119.79, 0, 389.693, 267.013, 295.14, 111.182
1, 900.00000, 116.73, 120.574, 119.987, 0, 381.604, 259.715, 290.174, 109.675
1, 1800.00000, 116.975, 120.708, 120.177, 0, 375.149, 256.498, 285.235, 107.014
1, 2700.00000, 117.293, 120.618, 120.392, 0, 365.029, 259.085, 278.201, 97.8732
2, 0.00000, 117.115, 120.526, 120.163, 0, 369.234, 260.517, 284.42, 98.9233
2, 900.00000, 117.331, 120.823, 120.448, 0, 364.767, 253.409, 277.296, 101.392
2, 1800.00000, 117.32, 120.913, 120.451, 0, 364.677, 250.197, 276.803, 103.499
2, 2700.00000, 117.599, 121.148, 120.617, 0, 356.712, 243.287, 271.944, 101.705
3, 0.00000, 118.338, 121.553, 121.243, 0, 336.617, 233.121, 254.475, 94.4859
3, 900.00000, 118.01, 121.712, 121.024, 0, 346.053, 227.396, 260.828, 105.364
3, 1800.00000, 118.769, 121.996, 121.522, 0, 324.629, 220.417, 246.609, 93.6298
3, 2700.00000, 117.725, 121.298, 120.696, 0, 353.069, 238.732, 269.858, 101.819
4, 0.00000, 117.884, 121.468, 120.81, 0, 349.052, 234.145, 267.053, 101.88
4, 900.00000, 118.259, 121.507, 121.099, 0, 338.378, 233.749, 258.73, 94.3505
4, 1800.00000, 117.832, 121.08, 120.724, 0, 348.638, 244.391, 268.083, 94.382
4, 2700.00000, 118.241, 121.614, 121.077, 0, 338.104, 229.367, 258.506, 97.0615
5, 0.00000, 117.935, 121.434, 120.849, 0, 346.563, 234.302, 264.674, 100.07
5, 900.00000, 118.509, 121.606, 121.229, 0, 329.748, 229.679, 253.427, 90.3485
5, 1800.00000, 117.567, 121.083, 120.493, 0, 357.133, 244.444, 275.621, 100.307
5, 2700.00000, 117.769, 121.423, 120.7, 0, 351.738, 234.504, 269.655, 103.496
6, 0.00000, 118.421, 122.136, 121.306, 0, 334.561, 214.704, 252.851, 105.385
6, 900.00000, 117.78, 121.644, 120.808, 0, 351.694, 227.666, 266.508, 109.046
6, 1800.00000, 117.614, 121.208, 120.698, 0, 356.338, 241.109, 269.633, 103.455
6, 2700.00000, 120.408, 123.222, 123.03, 0, 247.264, 163.346, 176.313, 81.5561
7, 0.00000, 119.847, 123.017, 122.527, 0, 262.54, 167.497, 190.459, 88.0957
