hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 1155.57, 861.405, 1182.05, 659.173, 1343.95, 783.223, 0, 0
0, 1800.00000, 1098.92, 821.334, 1124.28, 627.307, 1279.63, 746.286, 0, 0
0, 2700.00000, 1162.53, 795.668, 1185.27, 604.776, 1339.22, 719.913, 0, 0
1, 0.00000, 1204.87, 823.031, 1229.64, 630.829, 1383.7, 748.38, 0, 0
1, 900.00000, 1178.78, 803.485, 1203.42, 617.033, 1352.57, 731.592, 0, 0
1, 1800.00000, 1160.29, 791.501, 1183.36, 605.404, 1332.99, 718.431, 0, 0
1, 2700.00000, 1165.38, 794.986, 1189.77, 610.015, 1337.77, 723.631, 0, 0
2, 0.00000, 1184.88, 812.935, 1209.16, 620.366, 1363.79, 737.675, 0, 0
2, 900.00000, 1148.08, 784.833, 1171.35, 600.103, 1319.7, 712.615, 0, 0
2, 1800.00000, 1154.31, 788.367, 1178.85, 604.378, 1325.92, 717.631, 0, 0
2, 2700.00000, 1216.63, 771.096, 1239.11, 591.424, 1383.47, 700.723, 0, 0
3, 0.00000, 1166.98, 738.501, 1188.32, 563.852, 1328.9, 669.657, 0, 0
3, 900.00000, 1178.13, 743.946, 1200.83, 569.003, 1340.98, 676.136, 0, 0
3, 1800.00000, 1112.25, 722.417, 1133.02, 554.013, 1268.48, 656.205, 0, 0
3, 2700.00000, 1181.22, 770.936, 1204.43, 589.124, 1350.28, 700.135, 0, 0
4, 0.00000, 1165.95, 760.944, 1188.1, 579.177, 1334.44, 689.244, 0, 0
4, 900.00000, 1148.88, 751.83, 1170.19, 569.783, 1317.19, 679.255, 0, 0
4, 1800.00000, 1202.67, 787.673, 1225.57, 599.515, 1377.07, 713.427, 0, 0
4, 2700.00000, 1195.05, 758.518, 1214.86, 575.915, 1363.09, 684.37, 0, 0
5, 0.00000, 1214.51, 767.524, 1236.19, 588.902, 1380.04, 696.992, 0, 0
5, 900.00000, 1196.88, 757.367, 1217.4, 578.96, 1361.65, 685.933, 0, 0
5, 1800.00000, 1198.41, 785.699, 1218.85, 595.941, 1372.97, 708.524, 0, 0
5, 2700.00000, 1185.4, 773.485, 1205.64, 589.223, 1355.09, 698.882, 0, 0
6, 0.00000, 1132, 735.872, 1149.97, 558.997, 1294.16, 662.991, 0, 0
6, 900.00000, 1182.04, 769.635, 1201.65, 584.524, 1352.15, 694.064, 0, 0
6, 1800.00000, 1194.33, 778.382, 1213.95, 591.234, 1366.21, 701.806, 0, 0
6, 2700.00000, 1146.38, 727.466, 1167.5, 568.396, 1294.7, 666.223, 0, 0
7, 0.00000, 1189.54, 755.624, 1210.54, 587.971, 1345.23, 689.978, 0, 0
7, 900.00000, 1224.74, 777.507, 1245.48, 604.828, 1384.66, 709.129, 0, 0
7, 1800.00000, 1143.85, 729.091, 1166.14, 588.063, 1277.13, 677.877, 0, 0
7, 2700.00000, 1172.33, 745.88, 1193.42, 604.963, 1304.91, 693.683, 0, 0
8, 0.00000, 1242.69, 786.424, 1263.8, 642.93, 1377.51, 732.955, 0, 0
8, 900.00000, 1208.12, 762.232, 1227.48, 628.561, 1333.57, 712.16, 0, 0
8, 1800.00000, 1240.94, 782.331, 1261.61, 645.106, 1370.12, 731.617, 0, 0
